date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:30	2103655/2103655	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-201967%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/2012-2013_ive-ar-final_0.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/2012-2013_ive-ar-final_0/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:31	347102/347102	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-54bde%22	http://calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-program-rpt.pdf	./calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-program-rpt/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:34	718748/718748	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-af79c%22	http://calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen1-8.pdf	./calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen1-8/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:36	951431/951431	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-e8487%22	http://calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-9-11.pdf	./calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-9-11/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:38	1182633/1182633	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-120ba9%22	http://calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-12-13.pdf	./calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-12-13/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:40	8345761/8345761	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-7f58a1%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/pdf/CalSWEC/comparisons_between_caucasian_students_students_of_color_and_american_indian_students_on_their_views_on_social_work_s_traditional_mission_career.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/pdf/CalSWEC/comparisons_between_caucasian_students_students_of_color_and_american_indian_students_on_their_views_on_social_work_s_traditional_mission_career/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:44	1290356/1290356	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-13b074%22	http://calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-14-15.pdf	./calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-14-15/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:46	1244087/1244087	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-12fbb7%22	http://calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-16-17.pdf	./calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-16-17/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:46	799275/799275	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-c322b%22	http://calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-18-20.pdf	./calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-18-20/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:46	1050494/1050494	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-10077e%22	http://calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-21.pdf	./calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-21/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
